City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sainte-Marie,-20.8968,55.5496,75.33,67,100,13.8,RE,2022-12-05 22:22:17
1,Clyde River,70.4692,-68.5914,14.23,92,100,6.91,CA,2022-12-05 22:22:17
2,Ushuaia,-54.8,-68.3,44.26,53,40,20.71,AR,2022-12-05 22:22:18
3,Mataura,-46.1927,168.8643,50.49,90,97,3.51,NZ,2022-12-05 22:22:18
4,Katsuura,35.1333,140.3,44.62,95,100,20.13,JP,2022-12-05 22:22:18
5,East London,-33.0153,27.9116,60.28,85,4,11.05,ZA,2022-12-05 22:22:15
6,Esperance,-33.8667,121.9,60.93,81,100,5.01,AU,2022-12-05 22:22:19
7,Sestri Levante,44.2732,9.3968,53.06,89,15,5.01,IT,2022-12-05 22:22:19
8,New Norfolk,-42.7826,147.0587,55.92,58,93,4.0,AU,2022-12-05 22:22:20
9,Qaanaaq,77.484,-69.3632,33.39,87,100,16.82,GL,2022-12-05 22:20:48
10,Strezhevoy,60.7333,77.5889,7.32,96,98,7.72,RU,2022-12-05 22:22:20
11,Port Lincoln,-34.7333,135.8667,60.85,66,100,14.0,AU,2022-12-05 22:22:21
12,Balykshi,47.0667,51.8667,17.6,79,75,4.47,KZ,2022-12-05 22:22:21
13,Port Blair,11.6667,92.75,80.85,83,99,20.8,IN,2022-12-05 22:22:22
14,Castro,-24.7911,-50.0119,66.97,95,61,3.31,BR,2022-12-05 22:22:22
15,Torbay,47.6666,-52.7314,39.27,96,100,0.0,CA,2022-12-05 22:20:26
16,Barrow,71.2906,-156.7887,28.42,64,0,29.93,US,2022-12-05 22:22:22
17,Vaini,-21.2,-175.2,82.56,83,75,11.5,TO,2022-12-05 22:22:23
18,Rikitea,-23.1203,-134.9692,75.61,81,95,13.94,PF,2022-12-05 22:22:23
19,Taltal,-25.4,-70.4833,67.71,69,23,5.66,CL,2022-12-05 22:22:24
20,Trinidad,-14.8333,-64.9,78.78,73,75,4.61,BO,2022-12-05 22:22:24
21,Hithadhoo,-0.6,73.0833,81.07,77,98,8.59,MV,2022-12-05 22:21:28
22,Tasiilaq,65.6145,-37.6368,24.96,62,27,6.31,GL,2022-12-05 22:19:55
23,Nerchinskiy Zavod,51.3088,119.61,-1.89,96,100,4.76,RU,2022-12-05 22:22:25
24,Rio Grande,-32.035,-52.0986,77.11,82,0,10.49,BR,2022-12-05 22:22:25
25,Nanortalik,60.1432,-45.2371,33.42,77,96,14.18,GL,2022-12-05 22:22:26
26,Srednekolymsk,67.45,153.6833,-34.01,99,100,2.8,RU,2022-12-05 22:22:26
27,Calabozo,8.9242,-67.4293,83.16,53,66,1.83,VE,2022-12-05 22:22:26
28,Banjar,-8.19,114.9675,77.23,83,100,2.62,ID,2022-12-05 22:22:27
29,Punta Arenas,-53.15,-70.9167,48.31,43,75,19.57,CL,2022-12-05 22:22:27
30,Codrington,-38.2667,141.9667,57.52,64,12,11.01,AU,2022-12-05 22:22:27
31,Chokurdakh,70.6333,147.9167,-36.06,99,37,7.25,RU,2022-12-05 22:22:28
32,Vila Velha,-20.3297,-40.2925,75.15,87,0,11.5,BR,2022-12-05 22:18:12
33,Chicama,-7.8447,-79.1469,70.34,65,7,9.51,PE,2022-12-05 22:22:28
34,Nikolskoye,59.7035,30.7861,21.09,93,100,7.56,RU,2022-12-05 22:20:38
35,Saint-Philippe,-21.3585,55.7679,72.99,79,99,9.89,RE,2022-12-05 22:22:29
36,Whyalla,-33.0333,137.5833,68.09,47,100,4.65,AU,2022-12-05 22:22:30
37,Harper,4.375,-7.7169,78.37,85,75,6.29,LR,2022-12-05 22:22:30
38,Yazd,31.8972,54.3675,39.31,60,0,4.61,IR,2022-12-05 22:22:31
39,Georgetown,5.4112,100.3354,81.23,90,20,3.44,MY,2022-12-05 22:20:12
40,Hermanus,-34.4187,19.2345,54.81,68,99,4.32,ZA,2022-12-05 22:22:31
41,Hobart,-42.8794,147.3294,56.26,63,75,11.5,AU,2022-12-05 22:22:04
42,Constitucion,-35.3333,-72.4167,63.5,65,6,16.71,CL,2022-12-05 22:22:32
43,Jamestown,42.097,-79.2353,45.99,30,0,8.05,US,2022-12-05 22:20:00
44,Geraldton,-28.7667,114.6,66.61,82,40,10.36,AU,2022-12-05 22:23:32
45,Albany,42.6001,-73.9662,41.41,50,100,1.01,US,2022-12-05 22:18:58
46,Provideniya,64.3833,-173.3,32.36,80,100,31.32,RU,2022-12-05 22:23:33
47,Kodiak,57.79,-152.4072,40.51,87,0,9.22,US,2022-12-05 22:23:34
